"","Category","Species","Taxon","Order","Body.Mass..g.","LCT...C.","UCT...C.","Note.on.UCT.","TNZ...C.","Latitudinal.center...N.","Longitudinal.center...W.","Maximum.temperature","Minimum.temperature","Latitudinal.range","Range.size..Grid...","Latitudinal.maximum.....","Latitudinal.minimum.....","Elevation.maximum..meters.","Elevation.minimum..meters.","References"
"286","Mammals","Setonix brachyurus","Macropodidae","Diprotodontia",2674,20,32.5,NA,12.5,-33.54,116.99,31.85,4.24,2.97,23,35.02,32.06,NA,NA,"Kinnear and Shield 1975"
"287","Mammals","Dendrolagus matschiei","Macropodidae","Diprotodontia",6960,27,37,NA,10,-6.2,147.03,30.41,9.33,1.14,13,6.77,5.63,NA,NA,"McNab 1988"
"288","Mammals","Petaurus breviceps","Petauridae","Diprotodontia",128.1,27,31,NA,4,-1.07,136.09,30.58,21.7,0.76,4,1.45,0.69,NA,NA,"Fleming 1980; Dawson and Hulbert 1970"
"289","Mammals","Phalanger carmelitae","Phalangeridae","Diprotodontia",1389.7,12.5,32.5,"1b",20,-6.78,143.53,32.32,6.58,6.86,126,10.21,3.35,NA,NA,"McNab 2008"
"290","Mammals","Spilocuscus maculatus","Phalangeridae","Diprotodontia",4250,20.8,35.4,"1a",14.6,-7.18,136.83,34.7,6.58,13.74,488,14.05,0.31,NA,NA,"Dawson and Degabriele 1973"
"291","Mammals","Phalanger sericeus","Phalangeridae","Diprotodontia",1353.2,15,30,"1b",15,-6.78,143.79,32.2,6.58,6.86,120,10.21,3.35,NA,NA,"McNab 2008"
"292","Mammals","Phascolarctos cinereus","Phascolarctidae","Diprotodontia",4765,20,26,NA,6,-27.66,144.53,37.83,-3.3,22.56,614,38.94,16.38,NA,NA,"Degabriele and Dawson 1979"
"293","Mammals","Potorous tridactylus","Potoroidae","Diprotodontia",1120,20,30,NA,10,-33.64,147.32,31,-2.28,18.73,133,43.01,24.27,NA,NA,"Nicol 1976"
"294","Mammals","Bettongia gaimardi","Potoroidae","Diprotodontia",1700,10,20,NA,10,-42.1,147.07,22.9,-0.96,2.74,25,43.47,40.73,NA,NA,"Rose 1997"
"295","Mammals","Cercartetus nanus","Pseudocheiridae","Diprotodontia",70,31,35,NA,4,-35.69,146.73,34.11,-3.3,15.55,245,43.47,27.92,NA,NA,"Bartholomew and MacMillen 1961"
"296","Mammals","Pseudocheirus peregrinus","Pseudocheiridae","Diprotodontia",872,25,32.5,NA,7.5,-27.03,145.28,34.98,-3.3,32.88,517,43.47,10.59,NA,NA,"Kinnear and Shield 1975"
"297","Mammals","Cercopithecus mitis","Pseudocheiridae","Diprotodontia",8500,5,28,NA,23,-10.92,28.94,41.56,-1.56,44.81,1340,33.32,0,NA,NA,"Müller et al., 1983"
"298","Mammals","Petauroides volans","Pseudocheiridae","Diprotodontia",1141,18,25,NA,7,-27.25,148.65,36.69,-3.3,22.51,363,38.5,15.99,NA,NA,"Rübsamen et al., 1984"
"299","Mammals","Lasiorhinus latifrons","Vombatidae","Diprotodontia",25000,25,39,NA,14,-32.91,134.52,34.95,3.56,4.22,76,35.02,30.8,NA,NA,"Wells 1978"
"300","Mammals","Tarsipes rostratus","Tarsipedidae","Diprotodontia",10,32,35,"1a",3,-33.56,119.3,35.57,4.24,7.9,133,35.02,27.09,NA,NA,"Withers et al. 1990"
"301","Mammals","Atelerix albiventris","Erinaceidae","Erinaceomorpha",450,30,35,"1a",5,0.07,15,42.47,4.35,32.89,3099,16.51,0,NA,NA,"McNab 1980"
"302","Mammals","Erinaceus concolor","Erinaceidae","Erinaceomorpha",822.7,27.5,31.5,NA,4,36.64,40.01,43.56,-15.47,13.05,627,43.16,30.11,NA,NA,"Krol 1994"
"303","Mammals","Crocidura russula","Soricidae","Eulipotyphla",10.4,27.5,35,NA,7.5,40.82,-0.91,41.1,-9.85,26.34,902,53.99,27.65,NA,NA,"Sparti 1990"
"304","Mammals","Crocidura suaveolens","Soricidae","Eulipotyphla",6.5,27.5,35,NA,7.5,40.2,54.73,42.83,-38.76,36.38,5452,58.4,22.01,NA,NA,"Sparti 1990"
"305","Mammals","Heterohyrax brucei","Procaviidae","Hyracoidae",2000,25,35,"2",10,-1.53,32.09,42.44,1.62,46.28,2607,24.67,0,NA,NA,"Bartholomew and Rainey 1971"
"306","Mammals","Procavia capensis","Hyracoidea","Hyracoidae",2400,27,35,NA,8,0.07,20.14,45.55,-3.58,69.33,6858,34.74,0,NA,NA,"Rübsamen et al., 1979"
"307","Mammals","Brachylagus idahoensis","Leporidae","Lagomorpha",432,17.5,25.5,NA,8,42.62,-116.14,34.07,-17.13,10.56,263,47.9,37.34,NA,NA,"Katzner et al., 1997"
"308","Mammals","Lepus alleni","Leporidae","Lagomorpha",3362,25,35,NA,10,27.74,-109.04,41.28,-1.38,11.45,141,33.47,22.01,NA,NA,"Dawson and Schmidt-Nielsen 1966"
"309","Mammals","Sylvilagus audubonii","Leporidae","Lagomorpha",672.4,28,40,NA,12,33.62,-110.16,41.81,-20.84,29.53,1679,48.39,18.86,NA,NA,"Hinds 1973"
"310","Mammals","Elephantulus edwardii","Macroscelididae","Macroscelidae",49.8,32.5,36,NA,3.5,-31.26,21.18,34.28,-3.58,6.68,151,34.6,27.92,NA,NA,"Leon et al., 1983"
"311","Mammals","Macroscelides proboscideus","Macroscelididae","Macroscelidae",45,35,38,"1b",3,-26.07,19.57,37.02,-3.58,17.05,411,34.6,17.55,NA,NA,"Roxburg and Perrin 1994"
"312","Mammals","Zaglossus bruijni","Tachyglossidae","Monotremata",10300,18,33,"1b",15,-2.21,133.24,31.4,14.37,3.8,61,4.11,0.31,NA,NA,"McNab 1984"
"313","Mammals","Isoodon obesulus","Peramelidae","Peramelemorpha",1020,25,35,"1a",10,-27.03,133.05,33.82,-0.96,32.88,180,43.47,10.59,NA,NA,"Larcombe 2002"
"314","Mammals","Macrotis lagotis","Thylacomyidae","Peramelemorpha",1011,27,35,NA,8,-25.7,128.91,40.97,4.16,18.64,510,35.02,16.38,NA,NA,"Kinnear and Shield 1975"
"315","Mammals","Tamandua tetradactyla","Myrmecophagidae","Pilosa",3500,23,35,"1b",12,-10.92,-56.53,36.43,0.59,44.81,5316,33.32,0,NA,NA,"McNab 1984"
"316","Mammals","Callithrix pygmaea","Cebidae","Primates",153,27,34,"1a",7,-5.09,-68.49,34.29,8.27,14.85,747,12.51,0,NA,NA,"Genoud et al., 1997"
"317","Mammals","Saimiri sciureus","Cebidae","Primates",850,25,35,NA,10,-3.39,-61.32,36.06,1.22,23.64,1971,15.21,0,NA,NA,"Stitt and Hardy 1971; Malinow and Wagner 1966"
"318","Mammals","Colobus guereza","Cercopithecidae","Primates",10500,5,28,NA,23,5.61,26.38,40.4,3.16,17.92,1408,14.57,0,NA,NA,"Müller et al., 1983"
"319","Mammals","Macaca fuscata","Cercopithecidae","Primates",9550,32.5,35,NA,2.5,35.73,135.51,31.67,-10.47,11.22,139,41.34,30.11,NA,NA,"Nakayama et al., 1971"
"320","Mammals","Microcebus murinus","Cheirogaleidae","Primates",105,25,28,"1a",3,-20.34,45.33,35.8,9.82,9.47,80,25.07,15.6,NA,NA,"Aujard et al., 1998"
"321","Mammals","Eulemur fulvus","Lemuridae","Primates",2330,30,40,"1a",10,-16.21,47.37,35.42,7.85,7.39,56,19.9,12.51,NA,NA,"Daniel 1984"
"322","Mammals","Perodicticus potto","Lorisidae","Primates",1090,25,29,NA,4,-1.08,12.13,36.58,6.48,20.55,1753,11.36,0,NA,NA,"Hildwein and Goffart 1975"
"323","Mammals","Nycticebus coucang","Lorisidae","Primates",1300,25,33,NA,8,2.16,101.9,34.5,11.74,10.27,338,10.34,0,NA,NA,"Müller et al., 1983"
"324","Mammals","Nycticebus pygmaeus","Lorisidae","Primates",388,27.5,35,NA,7.5,16.97,104.9,35.02,4.3,13.27,259,23.61,10.34,NA,NA,"Xiao et al., 2010"
"325","Mammals","Tarsius syrichta","Tarsiidae","Primates",125,32,35,NA,3,9.01,124.28,33.26,15.48,7.26,88,12.64,5.38,NA,NA,"McNab and Wright 1987"
"326","Mammals","Aplodontia rufa","Aplodontidae","Rodentia",630,26.5,35,"1b",8.5,43.42,-121.51,33.59,-13.48,13.91,158,50.37,36.47,NA,NA,"McNab 1979"
"327","Mammals","Cryptomys hottentotus","Bathyergidae","Rodentia",102,28,32,NA,4,-21.64,25.85,34.92,-3.58,25.92,417,34.6,8.68,NA,NA,"Bennett et al., 1994"
"328","Mammals","Cryptomys bocagei","Bathyergidae","Rodentia",94,31.5,32.5,NA,1,-14.27,19.79,35.18,4.25,8.12,342,18.33,10.21,NA,NA,"Bennett et al., 1994"
"329","Mammals","Cryptomys mechowi","Bathyergidae","Rodentia",267,29,30,NA,1,-9.09,22.93,36.18,4.25,12.24,655,15.21,2.97,NA,NA,"Bennett et al., 1994"
"330","Mammals","Cryptomys damarensis","Bathyergidae","Rodentia",124,27,31,NA,4,-21.95,22.21,36.38,-0.48,11.92,462,27.92,15.99,NA,NA,"Lovegrove 1986"
"331","Mammals","Georychus capensis","Bathyergidae","Rodentia",192.6,26.3,34,NA,7.7,-31.67,24.19,34.1,-3.52,5.86,74,34.6,28.74,NA,NA,"Lovegrove 1987"
"332","Mammals","Heterocephalus glaber","Bathyergidae","Rodentia",39.2,31,37,NA,6,4.83,43.78,41.56,3.79,14.08,607,11.87,0,NA,NA,"McNab 1966"
"333","Mammals","Dolichotis salinicola","Caviidae","Rodentia",1613,28,37,NA,9,-25.03,-62.66,36.43,-0.52,15.74,292,32.9,17.16,NA,NA,"Arends and McNab 2001"
"334","Mammals","Kerodon rupestris","Caviidae","Rodentia",801,27,36,"1a",9,-10.85,-41.01,35.91,9.89,15.75,535,18.72,2.97,NA,NA,"Arends and McNab 2001"
"335","Mammals","Hydrochoerus hydrochaeris","Caviidae","Rodentia",26400,22,33,"1a",11,-13.42,-56.56,36.08,-10.02,47.52,5215,37.19,0,NA,NA,"Arends and McNab 2001"
"336","Mammals","Microtus guentheri","Cricetidae","Rodentia",51.3,30,34,"1a",4,37.03,30.9,39.88,-11.02,11.34,352,42.7,31.36,NA,NA,"Banin et al., 1990, Haim and Izhaki 1993"
"337","Mammals","Microtus californicus","Cricetidae","Rodentia",44,33,40,NA,7,36.9,-119.78,41.1,-9.01,14.39,187,44.09,29.7,NA,NA,"Bell et al., 1986"
"338","Mammals","Microtus longicaudus","Cricetidae","Rodentia",26.9,26.5,33.5,NA,7,50.08,-125.28,38.21,-35.96,35.77,1793,67.97,32.2,NA,NA,"Beck and Anthony 1971"
"339","Mammals","Phyllotis darwini","Cricetidae","Rodentia",59,27.5,34,NA,6.5,-30.75,-71.46,29.81,-8.84,13.75,93,37.62,23.87,NA,NA,"Bozinovic and Rosenmann 1988"
"340","Mammals","Loxodontomys micropus","Cricetidae","Rodentia",62.3,22,33,NA,11,-42.88,-70.69,29.81,-12.43,20.8,259,53.28,32.48,NA,NA,"Bozinovic and Rosenmann 1988"
"341","Mammals","Peromyscus maniculatus","Cricetidae","Rodentia",17,29,37,NA,8,40.99,-97.92,41.81,-34.31,49.73,5664,65.86,16.12,NA,NA,"Brower and Cade 1966"
"342","Mammals","Megadontomys thomasi","Cricetidae","Rodentia",111,28,35,NA,7,17.49,-100.06,32.32,11.81,0.39,3,17.68,17.29,NA,NA,"Buffenstein and Jarvis 1985 "
"343","Mammals","Myodes gapperi","Cricetidae","Rodentia",20.8,26,34,NA,8,47.82,-94.17,35.26,-36.5,29.55,3729,62.59,33.04,NA,NA,"Deavers and Hudson 1981"
"344","Mammals","Peromyscus leucopus","Cricetidae","Rodentia",21.2,27.5,34.5,NA,7,33.31,-87.58,40.79,-23.22,35.14,2630,50.88,15.74,NA,NA,"Deavers and Hudson 1981"
"345","Mammals","Isthmomys pirrensis","Cricetidae","Rodentia",140.4,32,34,"1b",2,7.66,-77.49,32.32,19.17,0.76,8,8.05,7.28,NA,NA,"Hill 1975"
"346","Mammals","Microtus arvalis","Cricetidae","Rodentia",24,20,30,"1a",10,50.31,48.9,37.53,-38.72,23.31,3198,61.97,38.65,NA,NA,"Jansky 1959"
"347","Mammals","Ochrotomys nuttalli","Cricetidae","Rodentia",19.5,29.5,36,NA,6.5,33.19,-85.98,35.67,-9.08,12.71,664,39.54,26.83,NA,NA,"Layne and Dolan 1975"
"348","Mammals","Peromyscus gossypinus","Cricetidae","Rodentia",21.5,29.7,35.3,"1a",5.6,31.29,-86.24,35.71,-6.76,12.96,554,37.77,24.81,NA,NA,"Layne and Dolan 1979"
"349","Mammals","Neotoma lepida","Cricetidae","Rodentia",106,31,35,"1a",4,33.45,-114.86,41.81,-18.21,21.28,506,44.09,22.81,NA,NA,"Nelson and Yousaf 1979"
"350","Mammals","Oxymycterus roberti","Cricetidae","Rodentia",83.5,33,34,"1b",1,-17.79,-47.19,34.75,5.39,10.56,392,23.07,12.51,NA,NA,"McNab 1984"
"351","Mammals","Neofiber alleni","Cricetidae","Rodentia",258.1,25,34,NA,9,28.09,-82.51,33.53,3.23,6.55,77,31.36,24.81,NA,NA,"McNab 1992"
"352","Mammals","Ondatra zibethicus","Cricetidae","Rodentia",1004.6,15,30,NA,15,48.79,-110.45,41.81,-37.52,39.83,6418,68.7,28.88,NA,NA,"McNab 1992"
"353","Mammals","Microtus pinetorum","Cricetidae","Rodentia",23.8,23,35,NA,12,37.42,-84.97,35.71,-18.12,17.1,1238,45.97,28.88,NA,NA,"McNab 1992"
"354","Mammals","Lagurus curtatus","Cricetidae","Rodentia",30.3,25,33,NA,8,44.01,-111.91,40.21,-22.71,16.81,767,52.41,35.6,NA,NA,"McNab 1992"
"355","Mammals","Microtus richardsoni","Cricetidae","Rodentia",51.3,22.5,33.5,NA,11,45.88,-115.15,34.83,-20.45,16.21,439,53.99,37.77,NA,NA,"McNab 1992"
"356","Mammals","Peromyscus californicus","Cricetidae","Rodentia",49.6,27,34.5,NA,7.5,34.16,-118.79,37.74,-8.09,8.1,92,38.21,30.11,NA,NA,"McNab and Morrison 1963"
"357","Mammals","Peromyscus truei","Cricetidae","Rodentia",33,27,33,NA,6,38.08,-111.4,41.81,-20.84,16.75,779,46.45,29.7,NA,NA,"McNab and Morrison 1963"
"358","Mammals","Peromyscus crinitus","Cricetidae","Rodentia",20.9,29,35,NA,6,36.98,-114.39,41.81,-18.36,17.03,464,45.5,28.47,NA,NA,"McNab and Morrison 1963"
"359","Mammals","Peromyscus eremicus","Cricetidae","Rodentia",21.5,30,36.5,NA,6.5,29.69,-108.44,41.81,-10.01,16.16,594,37.77,21.62,NA,NA,"McNab and Morrison 1963"
"360","Mammals","Microtus montanus","Cricetidae","Rodentia",51.2,26,31,"1a",5,42.99,-113.71,39.93,-20.84,19.89,738,52.93,33.04,NA,NA,"Packard 1968"
"361","Mammals","Reithrodontomys megalotis","Cricetidae","Rodentia",7.6,32,35,"2",3,33.25,-105.85,41.81,-21.74,34.25,2266,50.37,16.12,NA,NA,"Pearson 1960"
"362","Mammals","Myopus schisticolor","Cricetidae","Rodentia",26.4,20.9,24,"1a",3.1,57.74,89.24,26.92,-51.88,28.22,4681,71.85,43.63,NA,NA,"Saarela and Hissa 1993"
"363","Mammals","Cricetulus barabensis","Cricetidae","Rodentia",31.4,27,30,NA,3,42.86,104.88,33.96,-39.18,25.49,1750,55.6,30.11,NA,NA,"Song and Wang 2003"
"364","Mammals","Graomys griseoflavus","Cricetidae","Rodentia",69.4,25.6,34,"1a",8.4,-33.32,-62.68,36.43,-10.64,30.77,928,48.71,17.94,NA,NA,"Caviedes-Vidal et al., 1987"
"365","Mammals","Phodopus sungorus","Cricetidae","Rodentia",24,20,35,"1b",15,51.54,78.11,31.86,-33.33,9.22,562,56.15,46.93,NA,NA,"Weiner and Heldmaier 1987"
"366","Mammals","Onychomys torridus","Cricetidae","Rodentia",19.1,30,35,NA,5,33.53,-114.17,41.81,-12.47,17.44,378,42.25,24.81,NA,NA,"Whitford and Conley 1971"
"367","Mammals","Microtus pennsylvanicus","Cricetidae","Rodentia",38.9,25,29,NA,4,49.55,-107.11,35.01,-39.11,41.35,5288,70.23,28.88,NA,NA,"Wiegert 1961"
"368","Mammals","Microtus ochrogaster","Cricetidae","Rodentia",47.4,25,34,"1b",9,42.51,-98.63,35.23,-27.47,27.27,1434,56.15,28.88,NA,NA,"Wunder et al., 1977"
"369","Mammals","Ctenomys talarum","Ctenomyidae","Rodentia",116,25,30,"1a",5,-36.98,-61.14,33.48,0.13,3.92,50,38.94,35.02,NA,NA,"Busch 1989"
"370","Mammals","Priodontes maximus","Dasypodidae","Rodentia",45190,27,34,"2",7,-8.01,-59.09,36.08,3.73,38.99,4058,27.51,0,NA,NA,"McNab 1980"
"371","Mammals","Cabassous centralis","Dasypodidae","Rodentia",3810,27.5,32.5,NA,5,8.48,-81.09,36.8,6.81,16.84,425,16.9,0,NA,NA,"McNab 1980"
"372","Mammals","Dasyprocta azarae","Dasyproctidae","Rodentia",3849,18,35,"1a",17,-22.94,-53.38,35.32,4.35,21.62,766,33.74,12.13,NA,NA,"Arends and McNab 2001"
"373","Mammals","Myoprocta acouchy","Dasyproctidae","Rodentia",914,25,30,NA,5,2.16,-55.92,34.17,15.33,11.01,447,7.66,0,NA,NA,"Arends and McNab 2001"
"374","Mammals","Dasyprocta leporina","Dasyproctidae","Rodentia",2687,20,34,"1a",14,4.84,-58.42,36.08,13.48,15.61,882,12.64,0,NA,NA,"Arends and McNab 2001"
"375","Mammals","Napaeozapus insignis","Dipodidae","Rodentia",20.9,30,34,NA,4,44.37,-76.16,32.07,-27.6,19.24,1031,53.99,34.74,NA,NA,"Brower and Cade 1966"
"376","Mammals","Jaculus jaculus","Dipodidae","Rodentia",74.5,33,35,NA,2,21.66,21.72,46.33,-7.9,28.75,3608,36.03,7.28,NA,NA,"Hooper and Hilali 1972"
"377","Mammals","Jaculus orientalis","Dipodidae","Rodentia",139.1,28,33,NA,5,33.31,14.6,40.33,-4.02,8.05,243,37.34,29.29,NA,NA,"Hooper and Hilali 1972"
"378","Mammals","Thrichomys apereoides","Echimyidae","Rodentia",323,25,35,"1a",10,-12.23,-41.65,35.91,8.55,18.51,559,21.48,2.97,NA,NA,"Arends and McNab 2001"
"379","Mammals","Erethizon dorsatum","Erethizontidae","Rodentia",7710,0,20,"2",20,48.93,-108.21,41.68,-38.78,44.19,5205,71.03,26.83,NA,NA,"Irving et al., 1995"
"380","Mammals","Geomys bursarius","Geomyidae","Rodentia",197,30,33,"1a",3,40.62,-96.25,36.62,-24.12,18.51,727,49.87,31.36,NA,NA,"Bradley and Yousef 1975"
"381","Mammals","Thomomys umbrinus","Geomyidae","Rodentia",85,27,35,NA,8,25.56,-104.38,39.86,-5.41,14.97,285,33.04,18.07,NA,NA,"Bradley et al., 1974"
"382","Mammals","Thomomys talpoides","Geomyidae","Rodentia",106,26,32,NA,6,44.53,-109.89,34.76,-27,22.14,1249,55.6,33.47,NA,NA,"Bradley et al., 1974"
"383","Mammals","Geomys pinetis","Geomyidae","Rodentia",202,26,35,NA,9,30.15,-84.28,33.61,-1,6.63,136,33.47,26.83,NA,NA,"McNab 1966"
"384","Mammals","Thomomys bottae","Geomyidae","Rodentia",143,28,30,NA,2,32.99,-112.48,41.81,-20.84,20.36,851,43.16,22.81,NA,NA,"Vleck 1979"
"385","Mammals","Chaetodipus intermedius","Heteromyidae","Rodentia",15.2,33,36,NA,3,32.08,-108.99,41.81,-12.71,10.5,272,37.34,26.83,NA,NA,"Bradley et al., 1975"
"386","Mammals","Dipodomys microps","Heteromyidae","Rodentia",57.2,27,32,NA,5,38.99,-116.19,41.19,-13.59,10.2,225,44.09,33.89,NA,NA,"Breyen et al., 1973"
"387","Mammals","Chaetodipus penicillatus","Heteromyidae","Rodentia",16,31,37,"1a",6,32.08,-113.11,41.81,-7.34,10.5,223,37.34,26.83,NA,NA,"Brower and Cade 1966"
"388","Mammals","Dipodomys merriami","Heteromyidae","Rodentia",34.7,32,35,"1a",3,30.83,-108.74,41.81,-11.25,19.21,718,40.43,21.22,NA,NA,"Dawson 1955"
"389","Mammals","Dipodomys panamintinus","Heteromyidae","Rodentia",64.2,33,34,"1a",1,36.94,-117.67,41.19,-10.01,6.1,56,39.99,33.89,NA,NA,"Dawson 1955"
"390","Mammals","Liomys salvini","Heteromyidae","Rodentia",43.8,31,34,"1a",3,13.04,-88.84,36.8,4.77,6.94,119,16.51,9.57,NA,NA,"Hudson and Rummel 1966"
"391","Mammals","Liomys irroratus","Heteromyidae","Rodentia",48.1,31,34,"1b",3,21.9,-100.82,38,-2.87,12.32,315,28.06,15.74,NA,NA,"Hudson and Rummel 1966"
"392","Mammals","Heteromys anomalus","Heteromyidae","Rodentia",69.3,26,33,"1b",7,7.49,-68.83,35.62,6.81,9.54,198,12.26,2.72,NA,NA,"McNab 1979"
"393","Mammals","Dipodomys deserti","Heteromyidae","Rodentia",106,28.5,35,NA,6.5,34.9,-115.65,41.81,-10.67,12.87,179,41.34,28.47,NA,NA,"McNab 1979"
"394","Mammals","Chaetodipus hispidus","Heteromyidae","Rodentia",35.8,30.5,33.5,NA,3,33.29,-102.27,38.36,-18.91,27.29,1059,46.93,19.64,NA,NA,"Wang and Hudson 1970"
"395","Mammals","Hystrix africaeaustralis","Hystricidae","Rodentia",10700,24,27,NA,3,-17.08,26.36,37.37,-3.58,34.53,3208,34.6,0,NA,NA,"Haim et al., 1990"
"396","Mammals","Abrothrix longipilis","Muridae","Rodentia",42.3,27.3,32,NA,4.7,-42.36,-69.87,31.02,-12.43,23.95,374,54.34,30.39,NA,NA,"Bozinovic and Rosenmann 1988"
"397","Mammals","Abrothrix andinus","Muridae","Rodentia",34.6,26.8,34,NA,7.2,-24.33,-69.01,30,-12.53,20.54,322,34.6,14.05,NA,NA,"Bozinovic and Rosenmann 1988"
"398","Mammals","Auliscomys boliviensis","Muridae","Rodentia",76.8,22.7,31,"1b",8.3,-17.36,-68.36,28.83,-12.43,5.07,114,19.9,14.83,NA,NA,"Bozinovic and Rosenmann 1988"
"399","Mammals","Micaelamys namaquensis","Muridae","Rodentia",64.2,26.39,34.49,NA,8.1,-24.71,25.09,37.37,-3.58,19.77,1438,34.6,14.83,NA,NA,"Buffenstein 1984"
"400","Mammals","Gerbillurus paeba","Muridae","Rodentia",33.9,32.3,35.1,NA,2.8,-25.1,22.81,37.02,-3.58,18.99,985,34.6,15.6,NA,NA,"Buffenstein 1984"
"401","Mammals","Gerbillus pusillus","Muridae","Rodentia",12.6,31.4,38,NA,6.6,2.74,40.12,41.56,4.48,15.97,311,10.72,0.31,NA,NA,"Buffenstein and Jarvis 1985 "
"402","Mammals","Mus musculus","Muridae","Rodentia",46,27,33,NA,6,9.35,0.04,47.4,-51.45,128.45,37402,73.58,0,NA,NA,"Hudson and Scott 1979"
"403","Mammals","Rattus fuscipes","Muridae","Rodentia",76,28.1,32.9,NA,4.8,-27.27,133.66,34.78,-3.3,23.34,354,38.94,15.6,NA,NA,"Collins 1973"
"404","Mammals","Rattus villosissimus","Muridae","Rodentia",250.6,30,35,NA,5,-22.64,134.66,39.04,2.28,17.17,965,31.22,14.05,NA,NA,"Collins and Brdshaw 1973"
"405","Mammals","Akodon azarae","Muridae","Rodentia",23.5,30,32,NA,2,-32.93,-58.53,34.75,-0.52,16.51,573,41.18,24.67,NA,NA,"Dalby and Heath 1976"
"406","Mammals","Gerbillurus setzeri","Muridae","Rodentia",46.1,32.2,34.8,NA,2.6,-20.12,13.58,30.99,7.12,6.7,41,23.47,16.77,NA,NA,"Dempster et al.,1998"
"407","Mammals","Gerbillurus vallinus","Muridae","Rodentia",38.8,33.1,35,NA,2.9,-27.54,18.89,37.02,-0.02,7.35,147,31.22,23.87,NA,NA,"Dempster et al.,1999"
"408","Mammals","Gerbillurus tytonis","Muridae","Rodentia",29.9,32.4,34.9,NA,2.5,-25.09,15.4,30.99,2.22,4.83,36,27.51,22.67,NA,NA,"Downs and Perrin 1990"
"409","Mammals","Mystromys albicaudatus","Muridae","Rodentia",93.78,20,30,NA,10,-29.84,24.56,34.28,-3.58,9.52,257,34.6,25.07,NA,NA,"Downs and Perrin 1995"
"410","Mammals","Gerbillus andersoni","Muridae","Rodentia",35.8,28,35,"1a",7,31.16,25.84,35.58,1.58,2.92,97,32.62,29.7,NA,NA,"Haim 1984"
"411","Mammals","Gerbillus nanus","Muridae","Rodentia",28.2,33,34,NA,1,24.12,30.59,48.73,-18.45,22.96,4429,35.6,12.64,NA,NA,"Haim 1984"
"412","Mammals","Dipodillus dasyurus","Muridae","Rodentia",27.6,32,35,"1a",3,24.99,45.53,44.43,-2.22,24.69,798,37.34,12.64,NA,NA,"Haim 1987"
"413","Mammals","Otomys irroratus","Muridae","Rodentia",111.6,24,28,NA,4,-26.07,25.61,32.98,-3.53,17.05,301,34.6,17.55,NA,NA,"Haim and Fairall 1987"
"414","Mammals","Apodemus mystacinus","Muridae","Rodentia",42.3,28,32,"1a",4,36.85,34.03,42.56,-15.47,12.63,404,43.16,30.53,NA,NA,"Haim et al., 1993"
"415","Mammals","Mus macedonicus","Muridae","Rodentia",14.5,28,33,NA,5,37.26,34.32,43.56,-15.47,11.8,670,43.16,31.36,NA,NA,"Haim et al., 1999"
"416","Mammals","Baiomys taylori","Muridae","Rodentia",7.3,29,36,"1a",7,27.03,-102.43,39.53,-6.43,17.14,647,35.6,18.46,NA,NA,"Hudson 1965"
"417","Mammals","Apodemus agrarius","Muridae","Rodentia",24.4,25,27.5,NA,2.5,42.94,73.67,34.28,-39.72,41.85,5156,63.86,22.01,NA,NA,"Liu et al., 2004"
"418","Mammals","Apodemus speciosus","Muridae","Rodentia",28.5,25,30,NA,5,37.6,137.65,31.67,-17.68,15.8,236,45.5,29.7,NA,NA,"Liu et al., 2004"
"419","Mammals","Thallomys paedulcus","Muridae","Rodentia",124.7,27.46,35.89,NA,8.43,-11.69,29.49,41.56,-0.32,34.9,2218,29.15,0,NA,NA,"Lovegrove et al., 1991"
"420","Mammals","Notomys cervinus","Muridae","Rodentia",34.2,33,34,NA,1,-25.08,139.86,38.88,5.95,4.03,52,27.1,23.07,NA,NA,"MacMillen and Lee 1970"
"421","Mammals","Notomys alexis","Muridae","Rodentia",32.3,32,34,NA,2,-25.19,127.57,41.13,2.09,13.73,1292,32.06,18.33,NA,NA,"MacMillen and Lee 1970"
"422","Mammals","Pseudomys hermannsburgensis","Muridae","Rodentia",12.2,31,36,NA,5,-25.4,130.26,41.61,2.09,14.15,1650,32.48,18.33,NA,NA,"MacMillen et al., 1972"
"423","Mammals","Cannomys badius","Muridae","Rodentia",344,26.74,34.5,NA,7.76,19.57,95.52,39.26,-16.69,16.16,546,27.65,11.49,NA,NA,"McNab 1979"
"424","Mammals","Meriones unguiculatus","Muridae","Rodentia",61,30,40,"1a",10,45.36,107.29,37.15,-42.62,23.8,1588,57.26,33.47,NA,NA,"Robinson 1959"
"425","Mammals","Aepyprymnus rufescens","Muridae","Rodentia",2820,25,33,"1a",8,-24.25,148.79,36.55,-0.35,17.3,291,32.9,15.6,NA,NA,"Rübsamen et al., 1983"
"426","Mammals","Acomys cahirinus","Muridae","Rodentia",42,27,32.5,"1a",5.5,22.07,14.17,47.47,-6.63,21.94,1807,33.04,11.11,NA,NA,"Shkolnikand Borut 1969"
"427","Mammals","Saccostomus campestris","Nesomyidae","Rodentia",61.3,28,32,"1a",4,-20.68,26.87,37.37,-3.58,27.82,2301,34.6,6.77,NA,NA,"Haim et al., 1991"
"428","Mammals","Steatomys pratensis","Nesomyidae","Rodentia",37.5,28,32,NA,4,-10.92,25.6,37.93,-1.77,35.63,1620,28.74,0,NA,NA,"Perrin and Richardson 2005"
